activityName,geography,reference product,group,exchange name,compartment,subcompartment,exchange unitName,exchange amount - 3.10,exchange amount - 3.10.1
coke production,RoW,benzene,ToEnvironment,Anthracene,air,non-urban air or from high stacks,kg,0.532238724,2.50713E-06
coke production,RoW,benzene,ToEnvironment,Benzo(b)fluoranthene,air,non-urban air or from high stacks,kg,9.7481E-07,8.11474E-07
coke production,RoW,benzene,ToEnvironment,Benzo(k)fluoranthene,air,non-urban air or from high stacks,kg,1.15453E-07,3.96095E-07
coke production,RoW,benzene,ToEnvironment,Cobalt II,air,non-urban air or from high stacks,kg,0.056158019,7.34977E-08
coke production,RoW,benzene,ToEnvironment,Phenanthrene,air,non-urban air or from high stacks,kg,8.64633E-05,1.06901E-05
coke production,RoW,benzene,ToEnvironment,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,2.16846E-09,2.70902E-12
coke production,RoW,coal gas,ToEnvironment,Anthracene,air,non-urban air or from high stacks,kg,0.004279963,2.01609E-08
coke production,RoW,coal gas,ToEnvironment,Benzo(b)fluoranthene,air,non-urban air or from high stacks,kg,7.83887E-09,6.52541E-09
coke production,RoW,coal gas,ToEnvironment,Benzo(k)fluoranthene,air,non-urban air or from high stacks,kg,9.28409E-10,3.18518E-09
coke production,RoW,coal gas,ToEnvironment,Cobalt II,air,non-urban air or from high stacks,kg,0.000451591,5.91027E-10
coke production,RoW,coal gas,ToEnvironment,Phenanthrene,air,non-urban air or from high stacks,kg,6.95289E-07,8.59639E-08
coke production,RoW,coal gas,ToEnvironment,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,1.74375E-11,2.17844E-14
coke production,RoW,coal tar,ToEnvironment,Anthracene,air,non-urban air or from high stacks,kg,0.307833352,1.45006E-06
coke production,RoW,coal tar,ToEnvironment,Benzo(b)fluoranthene,air,non-urban air or from high stacks,kg,5.63805E-07,4.69336E-07
coke production,RoW,coal tar,ToEnvironment,Benzo(k)fluoranthene,air,non-urban air or from high stacks,kg,6.67752E-08,2.29092E-07
coke production,RoW,coal tar,ToEnvironment,Cobalt II,air,non-urban air or from high stacks,kg,0.032480371,4.25092E-08
coke production,RoW,coal tar,ToEnvironment,Phenanthrene,air,non-urban air or from high stacks,kg,5.00082E-05,6.18289E-06
coke production,RoW,coal tar,ToEnvironment,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,1.25418E-09,1.56683E-12
coke production,RoW,coke,ToEnvironment,Anthracene,air,non-urban air or from high stacks,kg,0.007313343,3.44498E-08
coke production,RoW,coke,ToEnvironment,Benzo(b)fluoranthene,air,non-urban air or from high stacks,kg,1.33946E-08,1.11502E-08
coke production,RoW,coke,ToEnvironment,Benzo(k)fluoranthene,air,non-urban air or from high stacks,kg,1.58641E-09,5.44264E-09
coke production,RoW,coke,ToEnvironment,Cobalt II,air,non-urban air or from high stacks,kg,0.000771652,1.00991E-09
coke production,RoW,coke,ToEnvironment,Phenanthrene,air,non-urban air or from high stacks,kg,1.18807E-06,1.4689E-07
coke production,RoW,coke,ToEnvironment,Polychlorinated biphenyls,air,non-urban air or from high stacks,kg,2.97962E-11,3.72238E-14
