REMIND index;scenario variable;dataset name;dataset reference product;dataset unit;share
build - fehes;FE|Buildings|Heating|District Heating;market for heat, district or industrial, natural gas;heat, district or industrial, natural gas;megajoule;regional
build - feels;FE|Buildings|Heating|Electricity|Heat pump;heat production, air-water heat pump 10kW;heat, air-water heat pump 10kW;megajoule;regional
build - feels;FE|Buildings|Heating|Electricity|Resistance;heat, residential, electric storage heater, using electricity from grid;heat, from residential heating system;megajoule;regional
build - fegas;FE|Buildings|Heating|Gases;heat production, natural gas, at boiler condensing modulating <100kW;heat, central or small-scale, natural gas;megajoule;regional
build - feh2s;FE|Buildings|Heating|Hydrogen;heat, residential, by combustion of hydrogen using boiler, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid;heat, from residential heating system;megajoule;regional
build - fehos;FE|Buildings|Liquids|+|Biomass;heat, residential, by combustion of methanol using boiler, distributed by truck, produced with biomass;heat, from residential heating system;megajoule;regional
build - fehos;FE|Buildings|Liquids|+|Hydrogen;methanol, synthetic, burned in residential boiler;heat;megajoule;regional
build - fehos;FE|Buildings|Liquids|Fossil|+|Coal;heat, residential, by combustion of methanol using boiler, distributed by truck, produced with coal;heat, from residential heating system;megajoule;regional
build - fehos;FE|Buildings|Liquids|Fossil|+|Gas;heat, residential, by combustion of liquefied petroleum gas using boiler, distributed by pipeline;heat, from residential heating system;megajoule;regional
build - fehos;FE|Buildings|Liquids|Fossil|+|Oil;heat production, light fuel oil, at boiler 100kW condensing, non-modulating;heat, central or small-scale, other than natural gas;megajoule;regional
build - fesos;FE|Buildings|Solids|Biomass|+|Modern;heat production, wood pellet, at furnace 9kW;heat, central or small-scale, other than natural gas;megajoule;regional
build - fesos;FE|Buildings|Solids|Biomass|+|Traditional;heat production, mixed logs, at wood heater 6kW;heat, central or small-scale, other than natural gas;megajoule;regional
build - fesos;FE|Buildings|Solids|Coal;heat production, hard coal briquette, stove 5-15kW;heat, central or small-scale, other than natural gas;megajoule;regional
build - feels;FE|Buildings|non-Heating|Electricity|Conventional;market group for electricity, low voltage;electricity, low voltage;kilowatt hour;regional
cdr - feels;FE|CDR|DAC|+|Electricity;electricity, medium-voltage, used as final energy;heat;megajoule;regional
cdr - fegas;FE|CDR|DAC|+|Gases;heat production, natural gas, at boiler condensing modulating >100kW;heat, district or industrial, natural gas;megajoule;regional
cdr - fehes;FE|CDR|DAC|+|Heat;market for heat, district or industrial, natural gas;heat, district or industrial, natural gas;megajoule;regional
cdr - feh2s;FE|CDR|DAC|+|Hydrogen;heat production, from hydrogen-fired one gigawatt gas turbine;heat;megajoule;regional
cdr - fedie;FE|CDR|EW|+|Diesel;diesel, burned in diesel-electric generating set, 10MW;diesel, burned in diesel-electric generating set, 10MW;megajoule;regional
cdr - feels;FE|CDR|EW|+|Electricity;electricity, medium-voltage, used as final energy;heat;megajoule;regional
cdr - fedie;FE|CDR|OAE, electric calciner|+|Diesel;diesel, burned in diesel-electric generating set, 10MW;diesel, burned in diesel-electric generating set, 10MW;megajoule;regional
cdr - feels;FE|CDR|OAE, electric calciner|+|Electricity;market group for electricity, low voltage;electricity, low voltage;kilowatt hour;regional
cdr - feh2s;FE|CDR|OAE, electric calciner|+|Hydrogen;hydrogen, burned in gas turbine 1GW;heat;megajoule;regional
cdr - fedie;FE|CDR|OAE, traditional calciner|+|Diesel;diesel, burned in diesel-electric generating set, 10MW;diesel, burned in diesel-electric generating set, 10MW;megajoule;regional
cdr - feels;FE|CDR|OAE, traditional calciner|+|Electricity;market group for electricity, low voltage;electricity, low voltage;kilowatt hour;regional
cdr - fegas;FE|CDR|OAE, traditional calciner|+|Gases;natural gas, burned in gas turbine;natural gas, burned in gas turbine;megajoule;regional
cdr - feh2s;FE|CDR|OAE, traditional calciner|+|Hydrogen;hydrogen, burned in gas turbine 1GW;heat;megajoule;regional
indst - feels;FE|Industry|Cement|+|Electricity;market group for electricity, high voltage;electricity, high voltage;kilowatt hour;regional
indst - feh2s;FE|Industry|Cement|+|Hydrogen;hydrogen, burned in gas turbine 1GW;heat;megajoule;regional
indst - fegas;FE|Industry|Cement|Gases|+|Biomass;biomethane, burned in residential natural gas boiler <100kW;heat;megajoule;regional
indst - fegas;FE|Industry|Cement|Gases|+|Fossil;natural gas, burned in gas turbine;natural gas, burned in gas turbine;megajoule;regional
indst - fegas;FE|Industry|Cement|Gases|+|Hydrogen;natural gas, synthetic, burned in gas turbine;heat;megajoule;regional
indst - fehos;FE|Industry|Cement|Liquids|+|Biomass;methanol from biomass, burned in residential boiler;heat;megajoule;regional
indst - fehos;FE|Industry|Cement|Liquids|+|Fossil;light fuel oil, burned in industrial furnace 1MW;heat;megajoule;regional
indst - fehos;FE|Industry|Cement|Liquids|+|Hydrogen;diesel, synthetic, burned in diesel-electric generating set, 10MW;heat;megajoule;regional
indst - fesos;FE|Industry|Cement|Solids|+|Biomass;soft wood chips from forest, burned in furnace 1000kW;heat;megajoule;regional
indst - fesos;FE|Industry|Cement|Solids|+|Fossil;hard coal, burned in hard coal industrial furnace 1-10MW;heat;megajoule;regional
indst - feh2s;FE|Industry|Chemicals|+|Hydrogen;hydrogen, burned in gas turbine 1GW;heat;megajoule;regional
indst - feels;FE|Industry|Chemicals|Electricity|+|High-temperature heat;market group for electricity, high voltage;electricity, high voltage;kilowatt hour;regional
indst - feels;FE|Industry|Chemicals|Electricity|+|Mechanical work and low-temperature heat;market group for electricity, high voltage;electricity, high voltage;kilowatt hour;regional
indst - fegas;FE|w/o Non-energy Use|Industry|Chemicals|Gases|+|Biomass;biomethane, burned in residential natural gas boiler <100kW;heat;megajoule;regional
indst - fegas;FE|w/o Non-energy Use|Industry|Chemicals|Gases|+|Fossil;natural gas, burned in gas turbine;natural gas, burned in gas turbine;megajoule;regional
indst - fegas;FE|w/o Non-energy Use|Industry|Chemicals|Gases|+|Hydrogen;natural gas, synthetic, burned in gas turbine;heat;megajoule;regional
indst - fehos;FE|w/o Non-energy Use|Industry|Chemicals|Liquids|+|Biomass;methanol from biomass, burned in residential boiler;heat;megajoule;regional
indst - fehos;FE|w/o Non-energy Use|Industry|Chemicals|Liquids|+|Fossil;light fuel oil, burned in industrial furnace 1MW;heat;megajoule;regional
indst - fehos;FE|w/o Non-energy Use|Industry|Chemicals|Liquids|+|Hydrogen;diesel, synthetic, burned in diesel-electric generating set, 10MW;heat;megajoule;regional
indst - fesos;FE|w/o Non-energy Use|Industry|Chemicals|Solids|+|Biomass;soft wood chips from forest, burned in furnace 1000kW;heat;megajoule;regional
indst - fesos;FE|w/o Non-energy Use|Industry|Chemicals|Solids|+|Fossil;hard coal, burned in hard coal industrial furnace 1-10MW;heat;megajoule;regional
indst - fehes;FE|Industry|Other Industry|+|Heat;market for heat, district or industrial, natural gas;heat, district or industrial, natural gas;megajoule;regional
indst - feh2s;FE|Industry|Other Industry|+|Hydrogen;hydrogen, burned in gas turbine 1GW;heat;megajoule;regional
indst - feels;FE|Industry|Other Industry|Electricity|+|High-temperature heat;market group for electricity, high voltage;electricity, high voltage;kilowatt hour;regional
indst - feels;FE|Industry|Other Industry|Electricity|+|Mechanical work and low-temperature heat;market group for electricity, high voltage;electricity, high voltage;kilowatt hour;regional
indst - fegas;FE|Industry|Other Industry|Gases|+|Biomass;heat production, biomethane, at boiler condensing modulating <100kW;heat, central or small-scale, biomethane;megajoule;regional
indst - fegas;FE|Industry|Other Industry|Gases|+|Fossil;natural gas, burned in gas turbine;natural gas, burned in gas turbine;megajoule;regional
indst - fegas;FE|Industry|Other Industry|Gases|+|Hydrogen;natural gas, synthetic, burned in gas turbine;heat;megajoule;regional
indst - fehos;FE|Industry|Other Industry|Liquids|+|Biomass;methanol from biomass, burned in residential boiler;heat;megajoule;regional
indst - fehos;FE|Industry|Other Industry|Liquids|+|Fossil;light fuel oil, burned in industrial furnace 1MW;heat;megajoule;regional
indst - fehos;FE|Industry|Other Industry|Liquids|+|Hydrogen;diesel, synthetic, burned in diesel-electric generating set, 10MW;heat;megajoule;regional
indst - fesos;FE|Industry|Other Industry|Solids|+|Biomass;soft wood chips from forest, burned in furnace 1000kW;heat;megajoule;regional
indst - fesos;FE|Industry|Other Industry|Solids|+|Fossil;hard coal, burned in hard coal industrial furnace 1-10MW;heat;megajoule;regional
indst - feels;FE|Industry|Steel|+|Electricity;market group for electricity, high voltage;electricity, high voltage;kilowatt hour;regional
indst - feh2s;FE|Industry|Steel|+|Hydrogen;hydrogen, burned in gas turbine 1GW;heat;megajoule;regional
indst - fegas;FE|Industry|Steel|Gases|+|Biomass;heat production, biomethane, at boiler condensing modulating <100kW;heat, central or small-scale, biomethane;megajoule;regional
indst - fegas;FE|Industry|Steel|Gases|+|Fossil;natural gas, burned in gas turbine;natural gas, burned in gas turbine;megajoule;regional
indst - fegas;FE|Industry|Steel|Gases|+|Hydrogen;natural gas, synthetic, burned in gas turbine;heat;megajoule;regional
indst - fehos;FE|Industry|Steel|Liquids|+|Biomass;methanol from biomass, burned in residential boiler;heat;megajoule;regional
indst - fehos;FE|Industry|Steel|Liquids|+|Fossil;light fuel oil, burned in industrial furnace 1MW;heat;megajoule;regional
indst - fehos;FE|Industry|Steel|Liquids|+|Hydrogen;diesel, synthetic, burned in diesel-electric generating set, 10MW;heat;megajoule;regional
indst - fesos;FE|Industry|Steel|Solids|+|Biomass;soft wood chips from forest, burned in furnace 1000kW;heat;megajoule;regional
indst - fesos;FE|Industry|Steel|Solids|+|Fossil;hard coal, burned in hard coal industrial furnace 1-10MW;heat;megajoule;regional
indst - fegas;FE|Non-energy Use|Industry|Gases|+|Biomass;biomethane production, from biogas upgrading, using amine scrubbing;biomethane, from biogas upgrading, using amine scrubbing;kilogram;regional
indst - fegas;FE|Non-energy Use|Industry|Gases|+|Fossil;market for natural gas, high pressure;natural gas, high pressure;cubic meter;regional
indst - feh2s;FE|Non-energy Use|Industry|Gases|+|Hydrogen;market for hydrogen, gaseous, low pressure;hydrogen, gaseous, low pressure;kilogram;regional
indst - fehos;FE|Non-energy Use|Industry|Liquids|+|Biomass;methanol production, biomass gasification;methanol, from biomass;kilogram;regional
indst - fehos;FE|Non-energy Use|Industry|Liquids|+|Fossil;market for light fuel oil;light fuel oil;kilogram;regional
indst - fehos;FE|Non-energy Use|Industry|Liquids|+|Hydrogen;diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation;diesel, synthetic;kilogram;regional
indst - fesos;FE|Non-energy Use|Industry|Solids|+|Biomass;market for plywood;plywood;cubic meter;regional
indst - fesos;FE|Non-energy Use|Industry|Solids|+|Fossil;market for hard coal;hard coal;kilogram;regional
trans - fedie;FE|Transport|Bunkers|Freight|International Shipping|Liquids|Biomass;methanol from biomass, burned in container ship;heat;megajoule;regional
trans - fedie;FE|Transport|Bunkers|Freight|International Shipping|Liquids|Fossil;heavy fuel oil, burned in container ship;heat;megajoule;regional
trans - fedie;FE|Transport|Bunkers|Freight|International Shipping|Liquids|Hydrogen;diesel, synthetic, burned in container ship;heat;megajoule;regional
trans - fepet;FE|Transport|Bunkers|Pass|International Aviation|Liquids|Biomass;kerosene, from biomass, burned in aircraft;heat;megajoule;regional
trans - fepet;FE|Transport|Bunkers|Pass|International Aviation|Liquids|Fossil;kerosene, burned in aircraft;heat;megajoule;regional
trans - fepet;FE|Transport|Bunkers|Pass|International Aviation|Liquids|Hydrogen;kerosene, synthetic, burned in aircraft;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Domestic Shipping|Liquids|Biomass;methanol from biomass, burned in container ship;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Domestic Shipping|Liquids|Fossil;heavy fuel oil, burned in container ship;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Domestic Shipping|Liquids|Hydrogen;diesel, synthetic, burned in container ship;heat;megajoule;regional
trans - feelt;FE|Transport|Freight|Rail|Electricity;electricity, used in passenger train;electricity, high voltage;megajoule;regional
trans - fedie;FE|Transport|Freight|Rail|Liquids|Biomass;biodiesel, burned in passenger train;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Rail|Liquids|Fossil;diesel, burned in passenger train;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Rail|Liquids|Hydrogen;diesel, synthetic, burned in passenger train;heat;megajoule;regional
trans - feelt;FE|Transport|Freight|Road|Heavy|Truck(18t)|Electricity;electricity, used in heavy-duty vehicle;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Heavy|Truck(18t)|Gases|Biomass;biomethane, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Heavy|Truck(18t)|Gases|Fossil;compressed gas, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Heavy|Truck(18t)|Gases|Hydrogen;compressed gas, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
