LCIA method,impact_category
"CML v4.8 2016 - acidification - acidification (incl. fate, average Europe total, A&B)",acidification
CML v4.8 2016 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,fossil resources
CML v4.8 2016 - eutrophication - eutrophication (fate not incl.),eutrophication
CML v4.8 2016 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),metal/mineral resources
CML v4.8 2016 - ozone depletion - ozone layer depletion (ODP steady state),ozone depletion
CML v4.8 2016 - photochemical oxidant formation - photochemical oxidation (high NOx),photochemical oxidant formation
EF v3.1 - acidification - accumulated exceedance (AE),acidification
EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),ecotoxicity
EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,fossil resources
EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),eutrophication
EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),eutrophication
EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),eutrophication
EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),human toxicity
EF v3.1 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),human toxicity
EF v3.1 - ionising radiation: human health - human exposure efficiency relative to u235,ionizing radiation
EF v3.1 - land use - soil quality index,land use
EF v3.1 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),metal/mineral resources
EF v3.1 - ozone depletion - ozone depletion potential (ODP),ozone depletion
EF v3.1 - particulate matter formation - impact on human health,particulate matter formation
EF v3.1 - photochemical oxidant formation: human health - tropospheric ozone concentration increase,photochemical oxidant formation
EF v3.1 - water use - user deprivation potential (deprivation-weighted water consumption),water use
"ReCiPe 2016 v1.03, midpoint (H) - acidification: terrestrial - terrestrial acidification potential (TAP)",acidification
"ReCiPe 2016 v1.03, midpoint (H) - ecotoxicity: freshwater - freshwater ecotoxicity potential (FETP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) - ecotoxicity: marine - marine ecotoxicity potential (METP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) - ecotoxicity: terrestrial - terrestrial ecotoxicity potential (TETP)",ecotoxicity
"ReCiPe 2016 v1.03, midpoint (H) - energy resources: non-renewable, fossil - fossil fuel potential (FFP)",fossil resources
"ReCiPe 2016 v1.03, midpoint (H) - eutrophication: freshwater - freshwater eutrophication potential (FEP)",eutrophication
"ReCiPe 2016 v1.03, midpoint (H) - eutrophication: marine - marine eutrophication potential (MEP)",eutrophication
"ReCiPe 2016 v1.03, midpoint (H) - human toxicity: carcinogenic - human toxicity potential (HTPc)",human toxicity
"ReCiPe 2016 v1.03, midpoint (H) - human toxicity: non-carcinogenic - human toxicity potential (HTPnc)",human toxicity
"ReCiPe 2016 v1.03, midpoint (H) - ionising radiation - ionising radiation potential (IRP)",ionizing radiation
"ReCiPe 2016 v1.03, midpoint (H) - land use - agricultural land occupation (LOP)",land use
"ReCiPe 2016 v1.03, midpoint (H) - material resources: metals/minerals - surplus ore potential (SOP)",metal/mineral resources
"ReCiPe 2016 v1.03, midpoint (H) - ozone depletion - ozone depletion potential (ODPinfinite)",ozone depletion
"ReCiPe 2016 v1.03, midpoint (H) - particulate matter formation - particulate matter formation potential (PMFP)",particulate matter formation
"ReCiPe 2016 v1.03, midpoint (H) - photochemical oxidant formation: human health - photochemical oxidant formation potential: humans (HOFP)",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (H) - photochemical oxidant formation: terrestrial ecosystems - photochemical oxidant formation potential: ecosystems (EOFP)",photochemical oxidant formation
"ReCiPe 2016 v1.03, midpoint (H) - water use - water consumption potential (WCP)",water use
"IPCC 2021 - climate change - GWP 100a, incl. H and bio CO2",climate change
Eco-costs - Material scarcity - VAR(95),Eco-costs - Material scarcity - VAR(95)
